Iteracja,Parametry,Średnia dokładność,Czas
1,{'estimator__max_depth': 27},0.9824366028576762,0.3162377834320068
2,{'estimator__max_depth': 87},0.9840922319967491,0.32788619995117185
3,{'estimator__max_depth': 3},0.9744807968985096,0.2273019313812256
4,{'estimator__max_depth': 56},0.9824355045962241,0.3104857921600342
5,{'estimator__max_depth': 76},0.9824338572040461,0.3108010768890381
6,{'estimator__max_depth': 93},0.983430529471846,0.30669169425964354
7,{'estimator__max_depth': 17},0.9830972071211272,0.31012635231018065
8,{'estimator__max_depth': 74},0.9837616552996608,0.3164658069610596
9,{'estimator__max_depth': 55},0.9834288820796677,0.308316707611084
10,{'estimator__max_depth': 95},0.9834299803411201,0.3087216854095459
11,{'estimator__max_depth': 54},0.9827666304240387,0.3039072513580322
12,{'estimator__max_depth': 92},0.9817738020713211,0.3104712009429932
